lat,lon,utm_x,utm_y,utc
37.61161553833333,126.99590825333334,323112.901993187,4164612.8483472257,100346.20
37.611615388333334,126.99590828833334,323112.9047272599,4164612.8316369136,100346.30
37.61161535666667,126.99590828000001,323112.90391661687,4164612.8281388194,100346.40
37.611615246666666,126.99590826166666,323112.90203762206,4164612.815967535,100346.50
37.61161498,126.99590841333332,323112.9147936538,4164612.7860916955,100346.60
37.6116149,126.99590825833333,323112.90092188085,4164612.777506918,100346.70
37.61161474666667,126.99590828500001,323112.9029124505,4164612.760442439,100346.80
37.611614939999995,126.99590818,323112.89410200936,4164612.7820930746,100346.90
37.611614805,126.99590805333334,323112.8826009479,4164612.767351961,100347.00
37.61161496,126.99590755166668,323112.83868501417,4164612.7854968207,100347.10
37.61161507,126.99590702666667,323112.79260275513,4164612.798692367,100347.20
37.61161547,126.99590617666667,323112.71851923666,4164612.844679631,100347.30
37.61161538666667,126.99590583833333,323112.68845631846,4164612.8360705897,100347.40
37.61161561166667,126.99590529833334,323112.64132249577,4164612.862055068,100347.50
37.61161587833333,126.995904335,323112.55691883026,4164612.89346102,100347.60
37.611615961666665,126.99590346000001,323112.47987809626,4164612.9043573802,100347.70
37.61161617333333,126.995902555,323112.40049330867,4164612.9295504456,100347.80
37.61161624333333,126.99590168833332,323112.3241565807,4164612.9389516003,100347.90
37.61161665666667,126.99590087666665,323112.25348843227,4164612.9863461014,100348.00
37.61161727333333,126.99590000166667,323112.177711555,4164613.0564223127,100348.10
37.61161755,126.99589904499999,323112.0939200701,4164613.088925325,100348.20
37.611618003333334,126.99589780666665,323111.98568389076,4164613.1415626495,100348.30
37.611618746666664,126.99589677333333,323111.8962307456,4164613.2259925622,100348.40
37.61161949833333,126.99589558000001,323111.7926737907,4164613.3116487875,100348.50
37.61161984666667,126.99589439166667,323111.68860240595,4164613.352540825,100348.60
37.611620105,126.99589339333333,323111.6010894709,4164613.3830880844,100348.70
37.611620359999996,126.99589241333334,323111.51518696337,4164613.4132309076,100348.80
37.61162035833333,126.99589129833333,323111.4167594712,4164613.4151479267,100348.90
37.61162053333333,126.99589009000002,323111.31051189336,4164613.436844221,100349.00
37.611620949999995,126.99588883,323111.2002762668,4164613.4854537863,100349.10
37.61162127666667,126.99588752333332,323111.0857079954,4164613.5241647284,100349.20
37.611621353333334,126.995886405,323110.9871718942,4164613.534780079,100349.30
37.611621711666665,126.99588486666669,323110.8522289343,4164613.5774415564,100349.40
37.61162203,126.99588336833334,323110.72072207107,4164613.6155891423,100349.50
37.611622145,126.99588204499999,323110.60418100085,4164613.630844507,100349.60
37.61162212333333,126.99588053666666,323110.4709857053,4164613.6312837945,100349.70
37.61162225666667,126.99587911833332,323110.3461022222,4164613.6487525627,100349.80
37.61162250833333,126.99587767833333,323110.21958659426,4164613.6793927057,100349.90
37.61162257,126.99587623000001,323110.0918851143,4164613.68896574,100350.00
37.61162265166667,126.995874655,323109.9530498764,4164613.7009968115,100350.10
37.61162293666666,126.99587329833334,323109.83396926144,4164613.7351786024,100350.20
37.61162324,126.99587208833333,323109.72787868767,4164613.771118211,100350.30
37.611623325,126.99587052166667,323109.58978695463,4164613.7835034514,100350.40
37.611623574999996,126.995869085,323109.46356162115,4164613.8139523854,100350.50
37.611623845000004,126.995867575,323109.33091038873,4164613.846758815,100350.60
37.61162403,126.99586616166668,323109.206590708,4164613.8699512216,100350.70
37.61162419833333,126.99586470499999,323109.07840640005,4164613.8913759515,100350.80
37.61162424333334,126.99586332166668,323108.95640312287,4164613.898977096,100350.90
37.61162441666667,126.99586187000001,323108.82867202663,4164613.9209472155,100351.00
37.61162460333333,126.99586046166665,323108.70479765744,4164613.944315139,100351.10
37.61162496,126.99585901166665,323108.57764814317,4164613.986625195,100351.20
37.61162506833333,126.99585760666666,323108.45388238516,4164614.0012948,100351.30
37.61162518833333,126.99585631,323108.3397071017,4164614.017054736,100351.40
37.61162522166667,126.995854705,323108.1981091654,4164614.0237792186,100351.50
37.61162541833333,126.99585321333333,323108.0669024801,4164614.0484138755,100351.60
37.611625679999996,126.99585176333333,323107.9395278407,4164614.0801825286,100351.70
37.61162577,126.99585032833332,323107.81307047093,4164614.092874393,100351.80
37.6116258,126.99584890833333,323107.68779499806,4164614.0988802454,100351.90
37.611626011666665,126.99584743666668,323107.5583893077,4164614.1251416407,100352.00
37.611626101666666,126.995846165,323107.44634973677,4164614.137525593,100352.10
37.61162634166667,126.99584481166667,323107.327456738,4164614.166707838,100352.20
37.61162659833334,126.99584332499998,323107.1968336019,4164614.1979908166,100352.30
37.61162701666667,126.99584187833334,323107.0701244774,4164614.2471372816,100352.40
37.61162730666667,126.99584065166667,323106.9625311191,4164614.281628848,100352.50
37.61162759,126.995839225,323106.83726751583,4164614.3157577133,100352.60
37.61162780666667,126.99583786,323106.717289382,4164614.3423728445,100352.70
37.61162810166666,126.99583626333333,323106.57704715076,4164614.378116756,100352.80
37.611628630000006,126.99583476166666,323106.4457437374,4164614.439572764,100352.90
37.61162883833333,126.99583339500002,323106.32559874025,4164614.4652663544,100353.00
37.61162904333333,126.99583203666667,323106.20618144184,4164614.4905743655,100353.10
37.61162928666667,126.99583036333334,323106.0590492381,4164614.520729773,100353.20
37.611629478333334,126.99582905000001,323105.94357259496,4164614.544473456,100353.30
37.61162959,126.995827615,323105.81716657954,4164614.559569531,100353.40
37.61162977166667,126.99582607333332,323105.6815107471,4164614.5826340546,100353.50
37.611629905,126.99582465166668,323105.5563330469,4164614.60010918,100353.60
