lat,lon,utm_x,utm_y,utc
37.612178054999994,126.99388546833333,322935.6805605736,4164679.0816410156,044534.30
37.61217689833334,126.99388561666667,322935.69091042184,4164678.95301475,044534.40
37.612175916666665,126.99388591666666,322935.7150632499,4164678.8435206735,044534.50
37.612174943333336,126.99388610666668,322935.729525975,4164678.735158862,044534.60
37.612174065,126.99388640333333,322935.7536296876,4164678.6371371774,044534.70
37.61217319166667,126.99388645166667,322935.7558244811,4164678.540138926,044534.80
37.61217237666666,126.99388679500001,322935.784197775,4164678.449056788,044534.90
37.612171585000006,126.99388691500002,322935.79291242664,4164678.360985217,044535.00
37.61217082666667,126.99388703333334,322935.80155902856,4164678.276615531,044535.10
37.61217010833333,126.99388723666668,322935.8178036048,4164678.196523934,044535.20
37.612169565,126.99388734500002,322935.8260775012,4164678.1360300067,044535.30
37.61216898666667,126.99388757166668,322935.84471384645,4164678.071429096,044535.40
37.61216852,126.99388771833334,322935.85655335314,4164678.019369938,044535.50
37.612167895,126.99388781333333,322935.86345656984,4164677.949839253,044535.60
37.612167655,126.99388789666666,322935.8702432247,4164677.9230510546,044535.70
37.61216737166667,126.993888005,322935.87913387746,4164677.891407315,044535.80
37.61216724,126.99388792166668,322935.8714655806,4164677.8769545387,044535.90
37.61216749166667,126.99388838000002,322935.91252039105,4164677.90401514,044536.00
37.61216779833333,126.99388849833333,322935.9236933199,4164677.937820264,044536.10
37.61216754666667,126.99388830166666,322935.9057362452,4164677.9102658834,044536.20
37.61216733166667,126.99388857833334,322935.9296480531,4164677.885886912,044536.30
37.61216734166667,126.99388881000002,322935.9501213653,4164677.8865593644,044536.40
37.612167168333336,126.99388864166667,322935.9348511384,4164677.867643561,044536.50
37.61216731166667,126.99388862833332,322935.93401418877,4164677.883573313,044536.60
37.612167473333336,126.99388889333335,322935.9577896643,4164677.901012141,044536.70
37.61216758166667,126.99388930333335,322935.99423800653,4164677.9122593603,044536.80
37.61216824833333,126.99389083833333,322936.1313163567,4164677.98333757,044536.90
37.61216858,126.9938912,322936.1640280152,4164678.0194575684,044537.00
37.61216880833333,126.99389142666665,322936.1845778838,4164678.0443662195,044537.10
37.61216912166667,126.99389194833333,322936.2313695102,4164678.0781499823,044537.20
37.61216972,126.99389228,322936.2620655871,4164678.1439165296,044537.30
37.61217020833333,126.99389324999999,322936.34884744114,4164678.1962726586,044537.40
37.61217072833333,126.993893595,322936.38053465786,4164678.253322003,044537.50
37.612171204999996,126.99389379666667,322936.3994668139,4164678.3058334594,044537.60
37.61217153,126.99389411666668,322936.4284846722,4164678.341292339,044537.70
37.61217230666667,126.99389499166666,322936.5075646828,4164678.4258218594,044537.80
37.61217281333334,126.99389551166665,322936.5546677959,4164678.481061474,044537.90
37.612173623333334,126.99389632166667,322936.62808922445,4164678.5694123963,044538.00
37.61217374333333,126.99389721166666,322936.7069356093,4164678.5810483913,044538.10
37.61217456,126.99389849333332,322936.82200762164,4164678.6692490056,044538.20
37.61217413666667,126.99389914,322936.8780857279,4164678.621054689,044538.30
37.61217495,126.99389893666667,322936.86206649663,4164678.7116876976,044538.40
37.61217481333333,126.99389979000001,322936.9370674124,4164678.6949125743,044538.50
37.61217532333333,126.99390024166665,322936.9781465336,4164678.7506510112,044538.60
37.61217568833333,126.99390105333332,322937.0506594777,4164678.7896205834,044538.70
37.612176399999996,126.99390169333334,322937.108841466,4164678.8673810186,044538.80
37.61217688833334,126.99390217333332,322937.15237022156,4164678.9206618094,044538.90
37.612176983333335,126.99390257166667,322937.1877570948,4164678.9304515515,044539.00
37.61217757166666,126.99390321499999,322937.2459407572,4164678.9945203504,044539.10
37.6121777,126.99390246,322937.1796001195,4164679.0101852273,044539.20
37.612177421666665,126.99390358999999,322937.2786867898,4164678.9771683696,044539.30
37.61217807333333,126.99390501499998,322937.40601965354,4164679.046789741,044539.40
37.612178173333334,126.99390608333333,322937.50056036003,4164679.055869977,044539.50
37.61217851166667,126.99390711,322937.591988437,4164679.091474847,044539.60
37.61217905333333,126.99390757333335,322937.6341725099,4164679.1507050763,044539.70
37.61217907666666,126.99390798333334,322937.67041921674,4164679.152520511,044539.80
37.612179399999995,126.99390933666668,322937.7906470987,4164679.185844514,044539.90
37.612180155000004,126.99391038999998,322937.8854174589,4164679.2676333454,044540.00
37.61218047666667,126.99391090666668,322937.93178748444,4164679.3023512363,044540.10
37.61218107166667,126.993911705,322938.00366904866,4164679.3668672987,044540.20
37.61218153,126.99391252333335,322938.0769918591,4164679.4161807788,044540.30
37.61218212833333,126.99391203833332,322938.03559944266,4164679.4834884126,044540.40
37.612182100000005,126.99391301166666,322938.1214499221,4164679.4785077674,044540.50
37.612182545,126.99391404833335,322938.2140137339,4164679.525929747,044540.60
37.61218249333333,126.99391439000001,322938.24405063665,4164679.51955196,044540.70
37.612182686666664,126.99391562166666,322938.3532304254,4164679.5386804678,044540.80
37.61218269166667,126.99391681666665,322938.45872684324,4164679.5369802755,044540.90
37.61218263,126.99391732666666,322938.5035990786,4164679.529175216,044541.00
37.61218268333334,126.99391811166667,322938.5730187946,4164679.5336118843,044541.10
37.61218257166667,126.99391864333332,322938.619684975,4164679.5202178275,044541.20
37.61218232833333,126.99391947333334,322938.69237319095,4164679.4916507755,044541.30
37.61218154666667,126.993920205,322938.7551043843,4164679.4035345954,044541.40
37.61218113166667,126.99392129000002,322938.8498946495,4164679.35543783,044541.50
37.61218106,126.993921735,322938.88900550886,4164679.3466458065,044541.60
37.61218031833334,126.99392237333335,322938.94359290955,4164679.2631442435,044541.70
